topology,diversity_mean,diversity_std,clusters_mean,largest_mean,variance_mean,connectivity
ring,0.32457344405995703,0.01722856701780981,64.5,0.06400000000000002,0.01696423932305381,10.0
small_world,0.2939112816981752,0.00987550344994496,52.8,0.087,0.010873664610775801,10.0
random,0.2734989589171203,0.010705495239473634,44.2,0.11500000000000002,0.008164295211787336,10.1
scale_free,0.2828334956978234,0.01301772338330654,46.5,0.11399999999999999,0.008710131049370101,9.82
fully_connected,0.25929962973829684,0.00943308911369381,40.9,0.11100000000000002,0.007373673642689471,99.0
