n_agents,diversity_mean,diversity_std,clusters_mean,largest_mean,variance_mean
50,0.2971264785926903,0.013724720847891912,33.1,0.10600000000000001,0.010142205624486414
100,0.31675048042028864,0.022680353369690306,64.4,0.05700000000000001,0.017348535572502988
200,0.31787443654583114,0.007973654657733111,115.8,0.04,0.01986696810056333
500,0.323261425543114,0.006680846144491754,251.7,0.024,0.025467202510517862
